model,brand,colors,approx_price_EUR,img_url,display_size,display_type,CPU,RAM
Idol 4,alcatel,Gold| Dark Gray| Rose Gold| Metal Silver,250,http://cdn2.gsmarena.com/vv/bigpic/alcatel-idol-4--.jpg,1080 x 1920 pixels (~424 ppi pixel density),LTPS IPS LCD capacitive touchscreen  16M colors,Octa-core (4x1.7 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),2 GB RAM - 6055Y| 6055K
Fierce XL (Windows),alcatel,Light Blue,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-fierce-xl-w.jpg,720 x 1280 pixels (~267 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.1 GHz Cortex-A7,2 GB RAM
CareTime,alcatel,Blue| Orange,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-caretime.jpg,96 x 64 pixels (~121 ppi pixel density),OLED (single white color),,
Pixi 4 (7),alcatel,Various,80,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi4-70.jpg,600 x 1024 pixels (~170 ppi pixel density),TFT capacitive touchscreen  16M colors,Quad-core 1.3 GHz Cortex-A7,1 GB RAM
Pixi 4 (6) 3G,alcatel,Silver| Black| Gold,120,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi-4-6-8050e.jpg,540 x 960 pixels (~184 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.3 GHz,1 GB RAM
Pixi 4 (6),alcatel,Various,100,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi4-60.jpg,720 x 1280 pixels (~245 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.1 GHz Cortex-A7,1 GB RAM or 16 GB| 1.5 GB RAM
Pixi 4 (4),alcatel,Various,60,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi4-40.jpg,480 x 800 pixels (~233 ppi pixel density),TFT capacitive touchscreen  16M colors,Quad-core 1.3 GHz Cortex-A7,512 MB RAM
Pixi 4 (3.5),alcatel,Various,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi4-35.jpg,320 x 480 pixels (~165 ppi pixel density),TFT capacitive touchscreen  16M colors,Dual-core 1.0 GHz Cortex-A7,512 MB RAM
Pixi 3 (8) LTE,alcatel,Smoky Grey| Soft Gold| White,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi3-8-lte.jpg,800 x 1280 pixels (~189 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.3 GHz Cortex-A7,1 GB RAM
Pop 3 (5.5),alcatel,Black| White,120,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pop3-55.jpg,720 x 1280 pixels (~267 ppi pixel density),TFT capacitive touchscreen  16M colors,Quad-core 1.3/ 1.1 GHz,1 GB RAM
