model,brand,colors,approx_price_EUR,img_url,display_size,display_type,CPU,RAM
Twin X2,Allview,Black,230,http://cdn2.gsmarena.com/vv/bigpic/allview-twin-x2.jpg,720 x 1280 pixels (~294 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Octa-core 1.4 GHz Cortex-A7,1 GB RAM
P7 Seon,Allview,Black,230,http://cdn2.gsmarena.com/vv/bigpic/allview-p7-seon.jpg,720 x 1280 pixels (~267 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Hexa-core 1.5 GHz Cortex-A7,1 GB RAM
X1 Xtreme Mini,Allview,White| Green,300,http://cdn2.gsmarena.com/vv/bigpic/allview-x1-xtreme-mini.jpg,1080 x 1920 pixels (~469 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 2.15 GHz Krait 400,2 GB RAM
X2 Soul Mini,Allview,Black| White,230,http://cdn2.gsmarena.com/vv/bigpic/allview-x2-soul-mini.jpg,720 x 1280 pixels (~306 ppi pixel density),AMOLED capacitive touchscreen  16M colors,Octa-core 1.7 GHz Cortex-A7,1 GB RAM
Impera M,Allview,Black,90,http://cdn2.gsmarena.com/vv/bigpic/allview-impera-m.jpg,480 x 800 pixels (~233 ppi pixel density),TFT capacitive touchscreen  16M colors,Quad-core 1.2 GHz Cortex-A7,512 MB RAM
Impera S,Allview,Black,170,http://cdn2.gsmarena.com/vv/bigpic/allview-impera-s.jpg,720 x 1280 pixels (~294 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.2 GHz Cortex-A7,1 GB RAM
Impera i,Allview,Black,160,http://cdn2.gsmarena.com/vv/bigpic/allview-impera-i.jpg,720 x 1280 pixels (~312 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.2 GHz Cortex-A7,1 GB RAM
A6 Quad,Allview,Black| White| Red,130,http://cdn2.gsmarena.com/vv/bigpic/allview-a6-quad.jpg,480 x 800 pixels (~233 ppi pixel density),IPS LCD capacitive touchscreen,Quad-core 1.2 GHz Cortex-A7,512 MB RAM
X2 Soul,Allview,Black| white,340,http://cdn2.gsmarena.com/vv/bigpic/allview-x2-soul.jpg,1080 x 1920 pixels (~441 ppi pixel density),Super AMOLED capacitive touchscreen  16M colors,Octa-core 1.7 GHz Cortex-A7,2 GB RAM
P7 Xtreme,Allview,Black| White,290,http://cdn2.gsmarena.com/vv/bigpic/allview-p7-xtreme.jpg,720 x 1280 pixels (~312 ppi pixel density),IGZO IPS LCD capacitive touchscreen  16M colors,Octa-core 1.7 GHz Cortex-A7,1 GB RAM
X1 Xtreme,Allview,Black,470,http://cdn2.gsmarena.com/vv/bigpic/allview-x1-xtreme.jpg,1080 x 1920 pixels (~401 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 2.15 GHz Krait 400,3 GB RAM
V1 Viper S,Allview,Black,310,http://cdn2.gsmarena.com/vv/bigpic/allview-v1-viper-s.jpg,720 x 1280 pixels (~294 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.4 GHz Cortex-A7,2 GB RAM
Wi10N PRO,Allview,Black,,http://cdn2.gsmarena.com/vv/bigpic/allview-wi10n-pro.jpg,1280 x 800 pixels (~149 ppi pixel density),Capacitive touchscreen,Quad-core 1.33 GHz,2 GB RAM
Wi8G,Allview,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/allview-wi-8g.jpg,800 x 1280 pixels (~189 ppi pixel density),IPS LCD capacitive touchscreen,Quad-core 1.33 GHz,1 GB RAM
Wi7,Allview,Black,,http://cdn2.gsmarena.com/vv/bigpic/allview-wi7.jpg,600 x 1024 pixels (~170 ppi pixel density),TFT capacitive touchscreen,Quad-core 1.33 GHz,1 GB RAM
Viva i10G,Allview,White,,http://cdn2.gsmarena.com/vv/bigpic/allview-viva-i10g.jpg,1536 x 2048 pixels (~264 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.83 GHz,2 GB RAM
Viva H10 HD,Allview,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/allview-viva-h10-hd.jpg,800 x 1280 pixels (~149 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.3 GHz Cortex-A7,1 GB RAM
Viva H10 LTE,Allview,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/allview-viva-h10-lte.jpg,800 x 1280 pixels (~149 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.5 GHz Cortex-A53,1 GB RAM
Viva H8 LTE,Allview,Black,,http://cdn2.gsmarena.com/vv/bigpic/allview-viva-h8-lte.jpg,800 x 1280 pixels (~189 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.5 GHz Cortex-A53,1 GB RAM
Viva H7S,Allview,Black,,http://cdn2.gsmarena.com/vv/bigpic/allview-viva-h7-s.jpg,800 x 1280 pixels (~216 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.3 GHz Cortex-A7,1 GB RAM
Viva H7 LTE,Allview,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/allview-viva-h7-lte.jpg,600 x 1024 pixels (~170 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.5 GHz Cortex-A53,1 GB RAM
Viva D8,Allview,Black,,http://cdn2.gsmarena.com/vv/bigpic/allview-viva-d8.jpg,768 x 1024 pixels (~162 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Dual-core 1.3 GHz Cortex-A7,512 MB RAM
AX4 Nano,Allview,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/allview-ax4-nano.jpg,480 x 800 pixels (~133 ppi pixel density),Capacitive touchscreen  16M colors,Dual-core 1.3 GHz Cortex-A7,512 MB RAM
AX3 Party,Allview,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/allview-ax3-party.jpg,480 x 800 pixels (~133 ppi pixel density),TFT capacitive touchscreen,Dual-core 1.0 GHz Cortex-A9,512 MB RAM
Viva i8,Allview,White,,http://cdn2.gsmarena.com/vv/bigpic/allview-viva-i8.jpg,768 x 1024 pixels (~162 ppi pixel density),IPS LCD capacitive touchscreen,Dual-core 2.0 GHz,1 GB RAM
Viva Q7 Life,Allview,White| Black,90,http://cdn2.gsmarena.com/vv/bigpic/allview-viva-q7-life.jpg,600 x 1024 pixels (~170 ppi pixel density),TFT capacitive touchscreen,Quad-core 1.0 GHz Cortex-A7,1 GB RAM
3 Speed Quad HD,Allview,White| Black,160,http://cdn2.gsmarena.com/vv/bigpic/allview-3-speed-quad-hd.jpg,768 x 1024 pixels (~132 ppi pixel density),TFT capacitive touchscreen,Quad-core 1.0 GHz Cortex-A7,1 GB RAM
City Life,Allview,White| Black,70,http://cdn2.gsmarena.com/vv/bigpic/allview-city-life.jpg,600 x 1024 pixels (~170 ppi pixel density),TFT capacitive touchscreen,Dual-core 1.5 GHz Cortex-A9,512 MB RAM
2 Speed Quad,Allview,White| Black,120,http://cdn2.gsmarena.com/vv/bigpic/allview-2-speed-quad.jpg,768 x 1024 pixels (~160 ppi pixel density),TFT capacitive touchscreen,Quad-core 1.0 GHz Cortex-A7,1 GB RAM
City+,Allview,White| Black,80,http://cdn2.gsmarena.com/vv/bigpic/allview-city-plus.jpg,600 x 1024 pixels (~170 ppi pixel density),IPS LCD capacitive touchscreen,Dual-core 1.5 GHz Cortex-A9,512 MB RAM
Viva H8,Allview,Black,190,http://cdn2.gsmarena.com/vv/bigpic/allview-viva-h8.jpg,768 x 1024 pixels (~162 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.2 GHz Cortex-A7,1 GB RAM
Viva Q8,Allview,White| Black,150,http://cdn2.gsmarena.com/vv/bigpic/allview-viva-q8.jpg,768 x 1024 pixels (~162 ppi pixel density),IPS LCD capacitive touchscreen,Quad-core 1.0 GHz Cortex-A7,1 GB RAM
Start M7,Allview,Black,20,http://cdn2.gsmarena.com/vv/bigpic/allview-m7-start.jpg,240 x 320 pixels (~167 ppi pixel density),TFT  256K colors,0,
P6 Quad Plus,Allview,Black,220,http://cdn2.gsmarena.com/vv/bigpic/allview-p6-quad-plus.jpg,720 x 1280 pixels (~316 ppi pixel density),TFT capacitive touchscreen,Quad-core 1.5 GHz Cortex-A7,1 GB RAM
A5 Quad,Allview,Black| White,130,http://cdn2.gsmarena.com/vv/bigpic/allview-a5-quad.jpg,480 x 800 pixels (~217 ppi pixel density),TFT capacitive touchscreen,Quad-core 1.3 GHz Cortex-A7,512 MB RAM
P5 Symbol,Allview,Black,160,http://cdn2.gsmarena.com/vv/bigpic/allview-p5-symbol.jpg,480 x 854 pixels (~212 ppi pixel density),TFT capacitive touchscreen,Dual-core 1.2 GHz Cortex-A7,512 MB RAM
X1 Soul Mini,Allview,Black,270,http://cdn2.gsmarena.com/vv/bigpic/allview-x1-soul-mini.jpg,720 x 1280 pixels (~326 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.5 GHz Cortex-A7,1 GB RAM
X1 Soul,Allview,Black,360,http://cdn2.gsmarena.com/vv/bigpic/allview-x1-soul.jpg,1080 x 1920 pixels (~441 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.5 GHz Cortex-A7,2 GB RAM
A4 Duo,Allview,Black,80,http://cdn2.gsmarena.com/vv/bigpic/allview-a4-duo.jpg,320 x 480 pixels (~165 ppi pixel density),TFT capacitive touchscreen,Dual-core 1.0 GHz Cotex-A7,512 MB RAM
A5 Duo,Allview,Black,100,http://cdn2.gsmarena.com/vv/bigpic/allview-a5-duo.jpg,480 x 800 pixels (~233 ppi pixel density),TFT capacitive touchscreen,Dual-core 1.2 GHz Cotex-A7,512 MB RAM
H2 Qubo,Allview,Black| White,120,http://cdn2.gsmarena.com/vv/bigpic/allview-h2-qubo.jpg,480 x 854 pixels (~218 ppi pixel density),TFT capacitive touchscreen,Quad-core 1.2 GHz Cortex-A7,512 MB RAM
Viper i V1,Allview,Black| white| yellow| blue| pink,200,http://cdn2.gsmarena.com/vv/bigpic/allview-viper-i.jpg,540 x 960 pixels (~234 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.3 GHz Cortex-A7,1 GB RAM
Viper V1,Allview,Black| White| Blue,230,http://cdn2.gsmarena.com/vv/bigpic/allview-v1-viper.jpg,720 x 1280 pixels (~312 ppi pixel density),IPS LCD capacitive touchscreen,Quad-core 1.2 GHz Cortex-A7,1 GB RAM
P5 Qmax,Allview,Black,230,http://cdn2.gsmarena.com/vv/bigpic/allview-p5-qmax.jpg,540 x 960 pixels (~208 ppi pixel density),TFT capacitive touchscreen,Quad-core 1.2 GHz Cortex-A7,1 GB RAM
P6 Quad,Allview,Black,,http://cdn2.gsmarena.com/vv/bigpic/allview-p6-quad.jpg,720 x 1280 pixels (~316 ppi pixel density),Super AMOLED capacitive touchscreen,Quad-core 1.2 GHz Cortex-A7,1 GB RAM
Simply S5,Allview,Black| White,20,http://cdn2.gsmarena.com/vv/bigpic/allview-simply-s5.jpg,240 x 320 pixels (~143 ppi pixel density),TFT  256K colors,0,
A4ALL,Allview,Various,70,http://cdn2.gsmarena.com/vv/bigpic/allview-a4all.jpg,320 x 480 pixels (~165 ppi pixel density),TFT capacitive touchscreen,1.0 GHz Cortex-A9,256 MB RAM
P5 Quad,Allview,Black| White,170,http://cdn2.gsmarena.com/vv/bigpic/allview-p5-quad.jpg,540 x 960 pixels (~245 ppi pixel density),IPS LCD capacitive touchscreen,Quad-core 1.2 GHz Cortex-A7,1 GB RAM
P6 Stony,Allview,Black,200,http://cdn2.gsmarena.com/vv/bigpic/allview-stony-p6.jpg,720 x 1280 pixels (~316 ppi pixel density),Super AMOLED capacitive touchscreen  16M colors,Dual-core 1.0 GHz Cotex-A9,1 GB RAM
P4 Duo,Allview,Black| White,180,http://cdn2.gsmarena.com/vv/bigpic/allview-p4-duo.jpg,480 x 800 pixels (~217 ppi pixel density),Super AMOLED capacitive touchscreen  16M colors,Dual-core 1.0 GHz Cotex-A9,512 MB RAM
P5 Mini,Allview,Black| White,90,http://cdn2.gsmarena.com/vv/bigpic/allview-p5-mini.jpg,320 x 480 pixels (~146 ppi pixel density),TFT capacitive touchscreen,1.0 GHz Cotex-A9,512 MB RAM
P5 AllDro,Allview,Black,,http://cdn2.gsmarena.com/vv/bigpic/allview-p5-alldro.jpg,480 x 800 pixels (~217 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,1.0 GHz Cotex-A9,512 MB RAM
P4 AllDro,Allview,Black,200,http://cdn2.gsmarena.com/vv/bigpic/allview-p4-alldro.jpg,480 x 800 pixels (~217 ppi pixel density),Super AMOLED+ capacitive touchscreen  16M colors,1.0 GHz Cotex-A9,512 MB RAM
P3 AllDro,Allview,Black| White,100,http://cdn2.gsmarena.com/vv/bigpic/allview-p3-alldro.jpg,480 x 800 pixels (~228 ppi pixel density),TFT capacitive touchscreen,670 MHz,512 MB RAM
P2 AllDro,Allview,Black,80,http://cdn2.gsmarena.com/vv/bigpic/allview-p2-alldro.jpg,320 x 480 pixels (~165 ppi pixel density),TFT capacitive touchscreen,670 MHz,256 MB RAM
P1 AllDro,Allview,Black,,http://cdn2.gsmarena.com/vv/bigpic/allview-p1-alldro1.jpg,320 x 480 pixels (~165 ppi pixel density),TFT capacitive touchscreen,,256 GB RAM
L4 Class,Allview,Black| White,20,http://cdn2.gsmarena.com/vv/bigpic/allview-l4-class.jpg,128 x 160 pixels (~116 ppi pixel density),TFT  256K colors,0,
M6 Stark,Allview,Black| White,20,http://cdn2.gsmarena.com/vv/bigpic/allview-m6-stark.jpg,176 x 220 pixels (~141 ppi pixel density),TFT  256K colors,0,
Fire HD 10,Amazon,Black| White,210,http://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10.jpg,800 x 1280 pixels (~149 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.5 GHz,1 GB RAM
Fire HD 8,Amazon,Black| Magenta| Blue| Tangerine,130,http://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8.jpg,800 x 1280 pixels (~189 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.5 GHz,1 GB RAM
Fire 7,Amazon,Black,50,http://cdn2.gsmarena.com/vv/bigpic/amazon-fire-7.jpg,600 x 1024 pixels (~170 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.3 GHz,1 GB RAM
Fire HDX 8.9 (2014),Amazon,Black,310,http://cdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HDX-89-2014.jpg,2560 x 1600 pixels (~339 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 2.5 GHz Krait 450,2 GB RAM
Fire HD 7,Amazon,Black| White| Cobalt| Magenta| Citron,120,http://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd7.jpg,800 x 1280 pixels (~216 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core (2x1.5 GHz & 2x1.2 GHz),1 GB RAM
Fire HD 6,Amazon,Black| White| Cobalt| Magenta| Citron,90,http://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd6.jpg,800 x 1280 pixels (~252 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core (2x1.5 GHz & 2x1.2 GHz),1 GB RAM
Fire Phone,Amazon,Black,160,http://cdn2.gsmarena.com/vv/bigpic/amazon-fire-phone.jpg,720 x 1280 pixels (~312 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 2.2 GHz Krait 400,2 GB RAM
Kindle Fire HDX 8.9,Amazon,Black,280,http://cdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HDX-89.jpg,2560 x 1600 pixels (~339 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 2.2 GHz Krait 400,2 GB RAM
Kindle Fire HDX,Amazon,Black,170,http://cdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HDX.jpg,1200 x 1920 pixels (~323 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 2.2 GHz Krait 400,2 GB RAM
Kindle Fire HD (2013),Amazon,Black,100,http://cdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HD.jpg,800 x 1280 pixels (~216 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Dual-core 1.5 GHz,1 GB RAM
Kindle Fire HD 8.9 LTE,Amazon,Black,380,http://cdn2.gsmarena.com/vv/bigpic/amazon-kindle-fire-hd-89.jpg,1920 x 1200 pixels (~254 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Dual-core 1.5 GHz Cortex-A9,1 GB RAM
Kindle Fire HD 8.9,Amazon,Black,200,http://cdn2.gsmarena.com/vv/bigpic/amazon-kindle-fire-hd-89.jpg,1920 x 1200 pixels (~254 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Dual-core 1.5 GHz Cortex-A9,1 GB RAM
Kindle Fire HD,Amazon,Black,150,http://cdn2.gsmarena.com/vv/bigpic/amazon-kindle-fire-hd.jpg,800 x 1280 pixels (~216 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Dual-core 1.2 GHz Cortex-A9,1 GB RAM
Kindle Fire,Amazon,Black,120,http://cdn2.gsmarena.com/vv/bigpic/amazon-kindle-fire.jpg,600 x 1024 pixels (~170 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Dual-core 1.0 GHz Cortex-A9,512 MB RAM
E860,Amoi,Black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-e860.gif,240 x 320 pixels (~143 ppi pixel density),TFT resistive touchscreen  256K colors (65K effective),,
E78,Amoi,Black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-e78.gif,240 x 320 pixels (~163 ppi pixel density),TFT resistive touchscreen  65K colors,,
E76,Amoi,Black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-e76.gif,240 x 320 pixels (~182 ppi pixel density),TFT  65K colors,,
E72,Amoi,Black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-e72.gif,176 x 220 pixels (~141 ppi pixel density),TFT  65K colors,,
WMA8701A,Amoi,Black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-8701a.gif,320 x 240 pixels (~182 ppi pixel density),TFT  256K colors,,
WMA8703,Amoi,Black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-8703.gif,320 x 240 pixels (~182 ppi pixel density),TFT  256K colors,,
WMA8508,Amoi,Black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-8508.gif,176 x 220 pixels (~141 ppi pixel density),TFT  256K colors,,
CMA8170,Amoi,Black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-8170.gif,176 x 220 pixels (~141 ppi pixel density),TFT  256K colors,,
M33,Amoi,Silver,,http://cdn2.gsmarena.com/vv/bigpic/amoi-m33.gif,128 x 160 pixels (~114 ppi pixel density),CSTN  65K colors,,
A203,Amoi,Black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-a203.gif,128 x 128 pixels (~121 ppi pixel density),CSTN  65K colors,,
A200,Amoi,Black & Silver| Pink & White,,http://cdn2.gsmarena.com/vv/bigpic/amoi-a200.gif,128 x 128 pixels (~121 ppi pixel density),CSTN  65K colors,,
A102,Amoi,Black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-a102.gif,128 x 128 pixels (~121 ppi pixel density),CSTN  65K colors,,
A100,Amoi,Black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-a100.gif,128 x 128 pixels (~121 ppi pixel density),CSTN  65K colors,,
A10,Amoi,Black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-a10.gif,128 x 128 pixels (~121 ppi pixel density),CSTN  mono,,
E850,Amoi,Black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-e850.gif,204 x 320 pixels (~158 ppi pixel density),TFT resistive touchscreen  256K colors (65K effective),Intel XScale PXA 272 312 MHz,64 MB RAM
V810,Amoi,Silver,,http://cdn2.gsmarena.com/vv/bigpic/amoi-v810.gif,176 x 220 pixels (~141 ppi pixel density),TFT  256Kcolors,,
H815,Amoi,Silver,,http://cdn2.gsmarena.com/vv/bigpic/amoi-h815.gif,176 x 220 pixels (~141 ppi pixel density),TFT  256K colors,,
H812,Amoi,Silver black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-h812.gif,176 x 220 pixels (~141 ppi pixel density),TFT  256K colors,,
H810,Amoi,Silver black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-h810.gif,176 x 220 pixels (~141 ppi pixel density),TFT  256K colors,,
H802,Amoi,Silver black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-h802.gif,176 x 220 pixels (~141 ppi pixel density),TFT  256K colors,,
H801,Amoi,Silver,,http://cdn2.gsmarena.com/vv/bigpic/amoi-h801.gif,176 x 220 pixels (~141 ppi pixel density),TFT  256K colors,,
H8,Amoi,Black-silver,,http://cdn2.gsmarena.com/vv/bigpic/amoi-h8.gif,176 x 220 pixels (~141 ppi pixel density),TFT  256K colors,,
H80,Amoi,Black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-h80.gif,176 x 220 pixels (~141 ppi pixel density),TFT  256K colors,,
A675,Amoi,Black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-a675.gif,320 x 240 pixels (~200 ppi pixel density),TFT  65K colors,,
M636,Amoi,Silver| Black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-m636.gif,176 x 220 pixels (~141 ppi pixel density),TFT  256K colors,,
A865,Amoi,Silver,,http://cdn2.gsmarena.com/vv/bigpic/amoi-a865.gif,176 x 220 pixels (~141 ppi pixel density),TFT  256K colors,,
A869,Amoi,Silver,,http://cdn2.gsmarena.com/vv/bigpic/amoi-a869.gif,240 x 320pixels (~200 ppi pixel density),TFT  256K colors,,
6201,Amoi,Silver,,http://cdn2.gsmarena.com/vv/bigpic/amoi-6201.gif,176 x 220pixels (~141 ppi pixel density),TFT  65K colors,,
M360,Amoi,Silver,,http://cdn2.gsmarena.com/vv/bigpic/amoi-m360.gif,128 x 160 pixels (~114 ppi pixel density),TFT  65K colors,,
M650,Amoi,Black silver,,http://cdn2.gsmarena.com/vv/bigpic/amoi-m650.gif,176 x 220 pixels (~157 ppi pixel density),TFT  256K colors,,
M630,Amoi,Black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-m630.gif,176 x 220 pixels (~141 ppi pixel density),TFT  256K colors,,
F620,Amoi,Silver pink| Silver blue,,http://cdn2.gsmarena.com/vv/bigpic/amoi-f620.gif,128 x 128 pixels (~121 ppi pixel density),TFT  256K colors,,
A320,Amoi,Silver,,http://cdn2.gsmarena.com/vv/bigpic/amoi-a320.gif,128 x 160 pixels (~114 ppi pixel density),CSTN  65K colors,,
F320,Amoi,Silver,,http://cdn2.gsmarena.com/vv/bigpic/amoi-f320.gif,128 x 128 pixels (~121 ppi pixel density),CSTN  65K colors,,
A310,Amoi,Silver black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-a310.gif,128 x 128 pixels (~121 ppi pixel density),CSTN  65K colors,,
A211,Amoi,Black-silver,,http://cdn2.gsmarena.com/vv/bigpic/amoi-a211.gif,128 x 160pixels (~114 ppi pixel density),CSTN  65K colors,,
A210,Amoi,Silver| Grey,,http://cdn2.gsmarena.com/vv/bigpic/amoi-a210.gif,128 x 160pixels (~114 ppi pixel density),CSTN  65K colors,,
2561,Amoi,,,http://cdn2.gsmarena.com/vv/bigpic/am2561.gif,132 x 176 pixels,TFT  256K colors,,
CS6,Amoi,,,http://cdn2.gsmarena.com/vv/bigpic/amcs6.gif,128 x 128 pixels,CSTN  65K colors,,
2560,Amoi,,,http://cdn2.gsmarena.com/vv/bigpic/am2560.gif,128 x 160 pixels,TFT  65K colors,,
A90,Amoi,,,http://cdn2.gsmarena.com/vv/bigpic/ama90.gif,128 x 160 pixels,Color graphics  4K colors,,
F99b,Amoi,,,http://cdn2.gsmarena.com/vv/bigpic/amf99b.gif,128 x 128 pixels,CSTN  65K colors,,
A9B,Amoi,,,http://cdn2.gsmarena.com/vv/bigpic/ama9b.gif,128 x 128 pixels,CSTN  65K colors,,
CA8,Amoi,,,http://cdn2.gsmarena.com/vv/bigpic/amca8.gif,128 x 160 pixels,CSTN  65K colors,,
CA6,Amoi,,,http://cdn2.gsmarena.com/vv/bigpic/amca6.gif,128 x 160 pixels,CSTN  65K colors,,
A90B,Amoi,,,http://cdn2.gsmarena.com/vv/bigpic/ama90b.gif,128 x 128 pixels,CSTN  65K colors,,
S6,Amoi,,,http://cdn2.gsmarena.com/vv/bigpic/ams6.gif,128 x 128 pixels,OLED  Grayscale (16 shades),,
iPad Pro 12.9,Apple,Space Gray| Gold| Silver,900,http://cdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-129-2017.jpg,2732 x 2048 pixels (~265 ppi pixel density),LED-backlit IPS LCD  capacitive touchscreen  16M colors,,4GB RAM
iPad Pro 10.5,Apple,Space Gray| Rose Gold| Gold| Silver,730,http://cdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-105-2017.jpg,1668 x 2224 pixels (~265 ppi pixel density),LED-backlit IPS LCD  capacitive touchscreen  16M colors,,4GB RAM
iPad 9.7,Apple,Silver| Gold| Space Gray,390,http://cdn2.gsmarena.com/vv/bigpic/apple-ipad-97-2017.jpg,1536 x 2048 pixels (~264 ppi pixel density),LED-backlit IPS LCD  capacitive touchscreen  16M colors,Dual-core 1.84 GHz (Twister),2 GB RAM
Watch Edition Series 2 42mm,Apple,Sport Band/White,1500,http://cdn2.gsmarena.com/vv/bigpic/apple-watch2-edition-42mm.jpg,390 x 312 pixels (~303 ppi pixel density),AMOLED capacitive touchscreen  16M colors,Dual-core,
Watch Edition Series 2 38mm,Apple,Sport Band/White,1450,http://cdn2.gsmarena.com/vv/bigpic/apple-watch2-s2-edition-38mm.jpg,340 x 272 pixels (~290 ppi pixel density),AMOLED capacitive touchscreen  16M colors,Dual-core,
Watch Series 2 42mm,Apple,Sport band: silver case/white| black case/black,700,http://cdn2.gsmarena.com/vv/bigpic/apple-watch2-s2-42mm.jpg,390 x 312 pixels (~303 ppi pixel density),AMOLED capacitive touchscreen  16M colors,Dual-core,
Watch Series 2 38mm,Apple,Sport band: silver case/white| black case/black,650,http://cdn2.gsmarena.com/vv/bigpic/apple-watch2-s2-38mm.jpg,340 x 272 pixels (~290 ppi pixel density),AMOLED capacitive touchscreen  16M colors,Dual-core,
Watch Series 2 Sport 42mm,Apple,Case colors: silver| gold| rose gold| gray,450,http://cdn2.gsmarena.com/vv/bigpic/apple-watch2-s2-sport-42mm.jpg,390 x 312 pixels (~303 ppi pixel density),AMOLED capacitive touchscreen  16M colors,Dual-core,
Watch Series 1 Sport 42mm,Apple,Case colors: silver| gold| rose gold| gray,350,http://cdn2.gsmarena.com/vv/bigpic/apple-watch1-sport-42mm.jpg,390 x 312 pixels (~303 ppi pixel density),AMOLED capacitive touchscreen  16M colors,Dual-core,512 MB RAM
Watch Series 2 Sport 38mm,Apple,Case colors: silver| gold| rose gold| gray,420,http://cdn2.gsmarena.com/vv/bigpic/apple-watch2-s2-sport-38mm.jpg,340 x 272 pixels (~290 ppi pixel density),AMOLED capacitive touchscreen  16M colors,Dual-core,
Watch Series 1 Sport 38mm,Apple,Case colors: silver| gold| rose gold| gray,320,http://cdn2.gsmarena.com/vv/bigpic/apple-watch2-s2-sport-38mm.jpg,340 x 272 pixels (~290 ppi pixel density),AMOLED capacitive touchscreen  16M colors,Dual-core,512 MB RAM
